species,taxon_name_original,taxname_source,totalinstudy,authority,family,subfamily,size,alltraits,bodylength_mm,flightless,trophicgroup,above_on_below,trophicgroupdetail,food,usual_habitat_adult,usual_habitat_larvae,introduced,Zoharas_MSP,NOTES,Count_2010,Count_2012,Wing_Type,Feeding_Group,pronotum_width,antennae_length,Colour,notes:
Helea castor,,AFD,7,Pascoe,Tenebrionidae,Heleini,3,notall,,yes,scavenger,concealed places/nocturnal,scavenger,dead plant material,concealed places/nocturnal,in soil,,,,,,,,,,,
Helea haagi,,AFD,393,Dohru,Tenebrionidae,Heleini,1,all,10,yes,scavenger,concealed places/nocturnal,scavenger,dead plant material,concealed places/nocturnal,in soil,,14,"flat-back; small, brown",,,absent,detritivore,6,4,brown,
Helea intermedia,,AFD,40,Breme,Tenebrionidae,Heleini,3,all,36,yes,scavenger,concealed places/nocturnal,scavenger,dead plant material,concealed places/nocturnal,in soil,,116,Flatback (MSP1) much larger and with 1 stripe along abdomen,,,absent,detritivore,22,10,brown,
Helea monilifera,,AFD,3511,Pascoe,Tenebrionidae,Heleini,3,all,30,yes,scavenger,above,scavenger,dead plant material,concealed places/nocturnal,in soil,,1,Flat-back; ridge of bumps along elitra,,,absent ,,16,7,dark brown ,
,Helea orcus,NA,2,,,,,notall,,,,,,,,,,,,,,,,,,,
,Helea sp.,NA,113,,Tenebrionidae,Heleini,2,all,15,yes,scavenger,concealed places/nocturnal,scavenger,dead plant material,concealed places/nocturnal,in soil,,,,,,,,,,,
Heteronyx insignis,,AFD,5,Blackburn,Scarabaeidae,Melolonthinae,2,notall,,no,herbivore,above,herbivore,adults foliage Eucalypts/larvae humus or roots,NA,in soil,,,,,,,,,,,
,Heteronyx sp.,NA,200,,Scarabaeidae,Melolonthinae,2,all,12,no,herbivore,above,herbivore,adults foliage Eucalypts/larvae humus or roots,NA,in soil,,,,,,,,,,,
,Heteronyx sp1,NA,2,Macleay,Scarabaeidae,,,notall,,no,herbivore,above,herbivore,adults foliage Eucalypts/larvae humus or roots,NA,in soil,,,,,,,,,,,
Metistete tenebrioides,Homotrysis tenebrioides,AFD,1,,Tenebrionidae,Alleculinae,2,notall,,no,scavenger,above,scavenger,NA,,,,,,,,,,,,,
Hypaulax orcus,,AFD,150,Pascoe,Tenebrionidae,,3,all,23,yes,scavenger,on,scavenger,,,,,103,"large black smooth head and thorax, elytra patterned with internal dots (see MSP 71 smaller version)",,,absent,,4,?,black - shine,
Isopteron breve,Isopteron brevis,AFD,58,Champion,Tenebrionidae,Adeliini,1,all,6,yes,scavenger,concealed places/nocturnal,scavenger,dead plant material/roots,concealed places/nocturnal,subterranean ?,,,,,,,,,,,
Julodimorpha bakewellii,Julodimorpha bakewelli,AFD,98,White,Buprestidae,,3,all,58,no,herbivore,above,herbivore,flowers,,,,,,,,,,,,,
Liparetrus fulvohirtus,,AFD,1,,Scarabaeidae,Melolonthinae,1,notall,,no,herbivore,above,herbivore,adults flowers/foliage Eucalypts/larvae humus or roots,NA,in soil,,,,,,,,,,,
,Liparetrus sp,NA,5,,Scarabaeidae,Melolonthinae,2,all,10,no,herbivore,above,herbivore,adults flowers/foliage Eucalypts/larvae humus or roots,NA,in soil,,"20,22,87,113","black, abdomen showing under elytra (may be same as 20)",,,present (large),pollinator,4,0,black,fur on body
,Liparetrus sp1,NA,1,,Scarabaeidae,Melolonthinae,,notall,,no,herbivore,above,herbivore,adults flowers/foliage Eucalypts/larvae humus or roots,NA,in soil,,,,,,,,,,,
,Liparetrus sp2,NA,4,,Scarabaeidae,Melolonthinae,,notall,,no,herbivore,above,herbivore,adults flowers/foliage Eucalypts/larvae humus or roots,NA,in soil,,,,,,,,,,,
,Liparetrus sp3,NA,8,,Scarabaeidae,Melolonthinae,,notall,,no,herbivore,above,herbivore,adults flowers/foliage Eucalypts/larvae humus or roots,NA,in soil,,,,,,,,,,,
,Liparetrus sp5,NA,1,,Scarabaeidae,Melolonthinae,,notall,,no,herbivore,above,herbivore,adults flowers/foliage Eucalypts/larvae humus or roots,NA,in soil,,,,,,,,,,,
,Liparetrus sp6,NA,2,,Scarabaeidae,Melolonthinae,,notall,,no,herbivore,above,herbivore,adults flowers/foliage Eucalypts/larvae humus or roots,NA,in soil,,,,,,,,,,,
Maechidius crenaticollis,,AFD,23,Blackburn,Scarabaeidae,Melolonthinae,1,all,8,no,herbivore,above,herbivore,larvae humus or roots,,in soil,,,,,,,,,,,
,Maechidius sp1,NA,4,,Scarabaeidae,Melolonthinae,1,notall,,no,,,,larvae humus or roots,,in soil,,,,,,,,,,,
,McBoo weevil,NA,8,,Curculionidae,,,notall,,,herbivore,,herbivore,,,,,,,,,,,,,,
Pseudotetracha australis,Megacephala australis,AFD,1,Chaudoir,Carabidae,Cicindelinae,3,notall,,,carnivore,on,carnivore,,,,,,,,,,,,,,
Metallesthes metallescens,,AFD,36,White,Scarabaeidae,Cetoniinae ,3,all,23,no,herbivore,above,herbivore,nectar/pollen,canopy,in soil,,117,large black scarab fur covering elytra and underside. ,,,present (large),,11,2,black,"fur on body, [Hawkeswood,  #8289]"
Metistete ebenina,,AFD,229,Carter,Tenebrionidae,,2,all,12,no,scavenger,on,scavenger,,,,,"62, 71","black long, depressed dots on elytra running paralell, long legs",,,present (large),,3,6,black,textured
,Metistete sp.,NA,71,,Tenebrionidae,,1,all,9,no,scavenger,on,scavenger,,,,,,,,,,,,,,
Microlestodes (Microlestodes) macleayi,Microlestes macleayi,AFD,1,,Carabidae,Lebiini,1,notall,,no,carnivore,on,carnivore,,litter,,,,,,,,,,,,
Microtragus mormon,,AFD,213,Pascoe,Cerambycidae,Lamiinae,2,all,11,yes,herbivore,above,herbivore,"sap pollen nectar, larvae eat wood",,,,70,"long atennae, elytra has 2 spikes close to thorax",,,absent,,6,12,brown ,textured
,Microtragus sp.,NA,1,Pascoe,Cerambycidae,Lamiinae,,notall,,no,herbivore,,herbivore,,,,,,,,,,,,,,
,Microtragus sp1,NA,10,,Cerambycidae,Lamiinae,2,notall,,yes,herbivore,,herbivore,,,,,,,,,,,,,,
,Microtragus traque,NA,1,,,,,notall,,,,,,,,,,,,,,,,,,,
Mythites sulcicollis,,AFD,2,Germar,Curculionidae,,,notall,,,herbivore,,herbivore,,,,,,,,,,,,,,
Neocarenum blackburni,,AFD,11,Sloane,Carabidae,Scaritini,3,all,32,yes,carnivore,below,carnivore,NA,fossorial/nocturnal/sandy soil,,,17,"large long, smooth elytra, pronotum with ridges next to eyes - abdomen comes to abrupt end",,,absent,predatory,9,6,black shine,large eyes
Neocarenum elongatum,,AFD,288,Macleay,Carabidae,Scaritini,3,all,30,yes,carnivore,below,carnivore,NA,fossorial/nocturnal/sandy soil,,,10,"smooth thorax, long abdomen, smooth pronotum - abdomen comes to abrupt end",,,absent,predatory,9,6,black shine,large eyes
,Neocarenum sp1,NA,10,,Carabidae,Scaritini,3,notall,,yes,carnivore,below,carnivore,NA,fossorial/nocturnal/sandy soil,,,,,,,,,,,,
,Neocarenum sp2,NA,3,,Carabidae,Scaritini,3,notall,,yes,carnivore,below,carnivore,NA,fossorial/nocturnal/sandy soil,,,,,,,,,,,,
,Neocarenum sp3,NA,2,,Carabidae,Scaritini,3,notall,,yes,carnivore,below,carnivore,NA,fossorial/nocturnal/sandy soil,,,,,,,,,,,,
