"taxon_name","taxon_name_original","taxname_source","entity_type_tax","taxon_family","life_stage_generic","life_stage_taxon_specific","caste","sex","trait_name","entity_type","value_type","unit_numeric","value","replicates","measurement_remarks","method_number","observation_number","methods","site_name","site_latitude","site_longitude","site_date_of_visit","site_description","site_fire_impact","collection_date","associated_plant_taxa","plant_relation_description","associated_fauna_taxa","associated_fauna_taxa_synonyms","fauna_relation_description","taxname_issues_description","context","source_key","source_doi","source_citation","source_type","secondary_citation"
"Astacoides granulimanus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Temp","species",NA,NA,"194.4308511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides granulimanus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","TempSeas","species",NA,NA,"2518.388298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides granulimanus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Prec","species",NA,NA,"1571.420213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides granulimanus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","PrecSeas","species",NA,NA,"80.79255319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides granulimanus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","ElevMin","species",NA,NA,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides granulimanus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Consumption","species",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides granulimanus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Fragment","species",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides granulimanus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Mercury","species",NA,NA,"0.394600004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides granulimanus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Pesticide","species",NA,NA,"0.380800009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Astacoides granulimanus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Sed","species",NA,NA,"0.352299988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
