"","Binomial","Family","Genus","RedList","BodySize","EggNumber","ChelaSize","ChelaShape","HabitatsIUCN","HabitatType","EOO","Temp","TempSeas","Prec","PrecSeas","ElevMin","Consumption","Fragment","Mercury","Pesticide","Sed","Cropland","Livestock","HPD"
"253","Euastacus spinifer","PARASTACIDAE","Euastacus","1",142.4,1299,0.632927128710221,0.410327823457214,3,1,75319.65,153.322596,4386.84753,1007.42472,28.90980673,1,0.627293106,0.243844451,0.912465521,0.594606896,0.573089653,0.179651724,0.215665514,70.72536387
"254","Euastacus sulcatus","PARASTACIDAE","Euastacus","3",145,111,0.731245336556474,0.426304840726571,1,1,8736.62,183.1416309,3891.607296,1279.746781,44.43776824,14,0.547000006,0.228974998,0.792624995,0.562574998,0.453825004,0.410574995,0.481099993,10.46351931
"255","Euastacus suttoni","PARASTACIDAE","Euastacus","3",86.3,192,0.671651320883708,0.447564862388086,5,1,11409.13,146.5270049,4596.294599,935.2291326,35.9492635,372,0.224850006,0.379200011,0.844600007,0.856174991,0.105250001,0.483024999,0.481099993,1.109656301
"256","Euastacus urospinosus","PARASTACIDAE","Euastacus","4",62.6,119,0.737728815179468,0.475512385263423,1,1,529.86,186.8333333,3827.366667,1481.766667,49.83333333,124,0.656599998,0,0.904900014,0.319999993,0.440299988,0.0058,0.194399998,14.16666667
"257","Euastacus valentulus","PARASTACIDAE","Euastacus","1",148.3,400,0.739417627417627,0.454172628990223,1,1,32221.08,171.6257242,4008.270568,1290.992468,42.76767092,-1,0.385327273,0.337960002,0.784027273,0.642981816,0.309509094,0.305581815,0.43736363,20.16454229
"258","Euastacus wiowuru","PARASTACIDAE","Euastacus","2",86.3,91,0.671150971599402,0.429844097995546,1,1,43942.54,129.0354361,4390.935748,969.5494548,23.68457944,2,0.479366665,0.593806664,0.883793338,0.514526661,0.41642667,0.323986667,0.778199971,71.12928349
"259","Euastacus yanga","PARASTACIDAE","Euastacus","1",88.4,250,0.693558086736744,0.461504454667283,1,1,24693.33,137.6189474,3876.441404,992.3010526,18.27508772,2,0.29682,0.178177781,0.862489998,0.303809999,0.300490002,0.07785,0.425899988,6.109473684
"260","Euastacus yarreansis","PARASTACIDAE","Euastacus","3",28.9,206,NA,NA,1,1,9835.64,139.0172117,3678.292599,745.686747,18.29259897,4,0.858733336,0.495966663,0.907433331,0.688266675,0.506566683,0.338766674,0.51879998,344.4268503
"261","Euastacus yigara","PARASTACIDAE","Euastacus","5",27.4,NA,NA,0.457142857142857,1,1,1641.05,223.0126582,2844.518987,2334.632911,78.53164557,7,0.062600002,0,0.264699996,0.254299998,0.218400002,0,0.184200004,2.569620253
"263","Fallicambarus byersi","CAMBARIDAE","Fallicambarus","1",22,NA,0.582608695652174,0.544776119402985,1,3,58284.95,184.7346746,6525.419994,1528.957875,19.88305564,1,0.225035,0.374085012,0.605405001,0.592900008,0.498744999,0.447735001,0.25225455,34.19585036
"264","Fallicambarus caesius","CAMBARIDAE","Fallicambarus","1",31.2,35,0.323717948717949,0.504950495049505,1,2,46623.43,167.3396081,7636.05801,1343.156742,15.30618517,18,0.286655554,0.972133329,0.668999993,0.607172221,0.439249996,0.453999996,0.238711114,16.223204
"265","Fallicambarus danielae","CAMBARIDAE","Fallicambarus","2",21.1,NA,0.737864077669903,0.513157894736842,1,2,40451.56,184.8451087,6567.952446,1549.592844,18.65443841,1,0.247656249,0.416668758,0.552662499,0.584518753,0.471781246,0.449656254,0.263999999,33.98188406
"266","Fallicambarus devastator","CAMBARIDAE","Fallicambarus","1",50,NA,0.739307535641548,0.520661157024793,2,3,41168.27,188.589469,6907.733155,1172.12896,17.40919232,1,0.311613331,0.694146677,0.821580009,0.816466665,0.695433338,0.585880001,0.214840007,20.4346274
"268","Fallicambarus fodiens","CAMBARIDAE","Fallicambarus","1",18.9,239,0.645429362880886,0.454935622317597,3,2,1320045.87,NA,8176.922239,1182.471864,19.09670908,-4,0.355441308,0.833744066,0.661344673,0.751576448,0.498280934,0.661900374,0.378092208,53.65032463
"269","Fallicambarus gilpini","CAMBARIDAE","Fallicambarus","2",28,35,0.51004016064257,0.511811023622047,2,3,32032.44,168.6152138,7719.08995,1326.850083,16.65630205,17,0.399346154,0.95494616,0.679599998,0.726369232,0.445307686,0.622292305,0.310800004,27.14491949
"270","Fallicambarus gordoni","CAMBARIDAE","Fallicambarus","2",32.5,NA,0.523809523809524,0.5,1,3,12589.67,181.6661786,6658.581259,1532.937042,17.65153734,18,0.176949998,0,0.521266669,0.579266672,0.45555,0.477200016,0.318399996,21.45534407
"271","Fallicambarus harpi","CAMBARIDAE","Fallicambarus","2",40,NA,0.577777777777778,0.557692307692308,2,3,12579.01,159.0298295,7843.008523,1387.90625,17.10653409,52,0.218579993,0.98895998,0.674819994,0.593800002,0.492919993,0.45352,0.286040008,13.37926136
"272","Fallicambarus hortoni","CAMBARIDAE","Fallicambarus","5",25.9,NA,0.613899613899614,0.440251572327044,3,3,23887.58,149.4758419,8165.314788,1362.615666,17.22108346,76,0.214477776,0.896966663,0.416711115,0.716977782,0.397822224,0.776622236,0.538266652,23.09224012
"273","Fallicambarus houstonensis","CAMBARIDAE","Fallicambarus","1",35,NA,0.653495440729483,0.46046511627907,2,3,76935.36,193.4666028,6754.152741,1150.647833,19.68829303,1,0.469414282,0.713160719,0.850035721,0.849999998,0.737996438,0.646778575,0.287732152,76.84486474
"274","Fallicambarus jeanae","CAMBARIDAE","Fallicambarus","3",40.6,NA,0.618075801749271,0.537735849056604,3,3,12579.01,159.0298295,7843.008523,1387.90625,17.10653409,52,0.218579993,0.98895998,0.674819994,0.593800002,0.492919993,0.45352,0.286040008,13.37926136
"275","Fallicambarus kountzeae","CAMBARIDAE","Fallicambarus","1",31,NA,0.576923076923077,0.477777777777778,2,3,25631.19,187.1002865,6893.665473,1208.515043,16.68696275,1,0.363055554,0.688244455,0.804911117,0.78406667,0.648111118,0.546022223,0.179033339,23.64971347
"276","Fallicambarus macneesei","CAMBARIDAE","Fallicambarus","1",30,NA,0.553846153846154,0.444444444444444,1,3,115365.25,NA,6746.448149,1284.237237,17.31078494,0,0.339790243,0.648838462,0.777095127,0.795785363,0.603931709,0.611673172,0.276563421,58.30894309
"277","Fallicambarus oryktes","CAMBARIDAE","Fallicambarus","2",31.3,NA,0.666666666666667,0.466666666666667,1,3,46868.8,185.9875049,6517.351816,1547.635689,18.33112066,1,0.244641178,0.419917647,0.543135298,0.615800006,0.480217646,0.494376477,0.257205556,35.9929715
"278","Fallicambarus petilicarpus","CAMBARIDAE","Fallicambarus","4",31.8,NA,0.545762711864407,0.496894409937888,1,3,29947.67,170.0684685,7565.50991,1335.110511,14.85525526,18,0.361363636,0.963972731,0.646736351,0.574263635,0.391309088,0.409499997,0.2084,17.82762763
"279","Fallicambarus strawni","CAMBARIDAE","Fallicambarus","1",37.2,NA,0.56794425087108,0.276073619631902,2,3,23358.1,160.0075988,7840.299392,1355.927812,18.9156535,52,0.156387495,0.985762477,0.705424994,0.645187501,0.521399993,0.483262502,0.250175007,10.17933131
"280","Faxonella beyeri","CAMBARIDAE","Faxonella","1",168,NA,0.476190476190476,0.375,3,2,74538.81,183.1616137,7094.823961,1245.7022,16.79315403,1,0.302425927,0.780314814,0.782174077,0.784029632,0.616011111,0.543574075,0.191500004,24.58679707
"281","Faxonella blairi","CAMBARIDAE","Faxonella","1",25,NA,0.474747474747475,0.404255319148936,2,2,22593.86,164.620771,7844.588513,1268.641227,21.23131393,63,0.102154545,0.975263617,0.801090912,0.817081814,0.630781816,0.648545449,0.368581818,8.324940991
"282","Faxonella clypeata","CAMBARIDAE","Faxonella","1",22.9,14,NA,NA,4,2,777906.43,NA,7065.381554,1292.762339,21.66602942,-6,0.316084122,0.661901033,0.694559461,0.739672298,0.548415877,0.597923987,0.28669767,34.44539615
"283","Faxonella creaseri","CAMBARIDAE","Faxonella","2",18,NA,0.497237569060773,0.466666666666667,2,2,31549.28,178.7191269,7235.113153,1391.642734,16.89948306,7,0.293223077,0.966715386,0.665461533,0.674784614,0.426592302,0.578053847,0.271538464,18.14761631
"284","Geocharax falcata","PARASTACIDAE","Geocharax","3",36.9,NA,0.716599190283401,0.564971751412429,5,1,6666.09,136.5555556,4293.648579,600.124031,30.87855297,112,0.71480002,0.909533322,0.9812,0.958566666,0.591566662,0.646999995,0.778199971,3.594315245
"285","Geocharax gracilis","PARASTACIDAE","Geocharax","1",40,NA,NA,NA,3,1,10260.62,128.1980519,2949.637987,1076.836039,32.45941558,3,0.305849999,0.168766658,0.758799993,0.539875004,0.302725,0.234025,0.466919982,4.112012987
"286","Gramastacus insolitus","PARASTACIDAE","Gramastacus","2",20,77,NA,NA,4,1,6098.63,135.5444444,4263.991667,614.2972222,30.87222222,129,0.71480002,0.909533322,0.9812,0.958566666,0.591566662,0.646999995,0.778199971,2.088888889
"289","Hobbseus orconectoides","CAMBARIDAE","Hobbseus","4",20,NA,0.48936170212766,0.489130434782609,4,2,33517.1,165.9054487,7421.122863,1424.468483,20.74519231,22,0.215799999,0.765674998,0.468924994,0.665541664,0.422633331,0.644199992,0.185733331,18.7099359
"291","Hobbseus prominens","CAMBARIDAE","Hobbseus","1",20,NA,0.481675392670157,0.456521739130435,3,2,102601.88,172.8472759,7039.034798,1462.501054,19.90878735,1,0.23401282,0.598071806,0.539892304,0.61524103,0.521615381,0.522894874,0.27798975,28.76783831
"292","Hobbseus valleculus","CAMBARIDAE","Hobbseus","4",22,NA,0.520179372197309,0.482758620689655,3,1,11475.42,171.8471139,7121.234009,1422.530421,20.55226209,33,0.155524999,0.471025005,0.526425004,0.618225008,0.456599995,0.553674996,0.238799997,38.61310452
"293","Hobbseus yalobushensis","CAMBARIDAE","Hobbseus","4",21.8,NA,0.533333333333333,0.511363636363636,1,1,5070.25,164.9201389,7518.336806,1425.506944,20.82986111,38,0.01305,0.868699998,0.440349996,0.640750021,0.381200001,0.624049991,0,11.05208333
"294","Ombrastacoides asperrimanus","PARASTACIDAE","Ombrastacoides","2",30.6,80,NA,NA,1,3,1000.34,105.46875,2633.8125,2390.3125,23.65625,17,0,0,0.231874999,0.070699999,0.026725,0.050525001,0,0
"295","Ombrastacoides brevirostris","PARASTACIDAE","Ombrastacoides","1",32.9,NA,0.689057750759879,0.460079400088222,4,3,3974.3,106.532,2582.416,2303.06,23.812,6,0,0,0.256399989,0,0,0,0,0
"296","Ombrastacoides decemdentatus","PARASTACIDAE","Ombrastacoides","1",28.9,NA,0.761092150170648,0.429995017438964,4,3,2169.49,96.17647059,2908.735294,2171.382353,23.86764706,111,0,0.586899996,0.281100005,0,0,0,0.664099991,0
"297","Ombrastacoides denisoni","PARASTACIDAE","Ombrastacoides","5",32.7,NA,0.699877750611247,0.510043668122271,3,3,64.53,102.25,2925.25,1233.5,22.75,262,0,0,0.400400013,0.080700003,0.287099987,0.044300001,0.664099991,2
"298","Ombrastacoides dissitus","PARASTACIDAE","Ombrastacoides","2",25.7,NA,0.761164274322169,0.479832372970141,2,3,979.16,101.9508197,2628.327869,1313.852459,20.49180328,18,0.258949995,0,0.407700002,0.10365,0.156549994,0.060500002,0.442733328,2
"299","Ombrastacoides huonensis","PARASTACIDAE","Ombrastacoides","1",35.7,NA,NA,NA,5,3,3146.89,93.44221106,2894.78392,1748.899497,23.10552764,115,0,0.293449998,0.340750009,0.040350001,0.143549994,0.022150001,0.664099991,0.783919598
"301","Ombrastacoides leptomerus","PARASTACIDAE","Ombrastacoides","1",20.5,NA,0.89171974522293,0.417857142857143,6,3,11650.38,92.88038943,2904.230876,1998.531293,29.29207232,6,0.168200004,0.200299996,0.303500003,0.206999998,0.149479999,0.175060001,0.221366664,5.645340751
"302","Ombrastacoides parvicaudatus","PARASTACIDAE","Ombrastacoides","5",21.3,NA,0.752503576537911,0.449619771863118,1,3,103.44,97.14285714,2753,2809.857143,22.71428571,234,0,0,0.223700002,0.094266665,0.035633333,0.067366668,0,0
"304","Ombrastacoides pulcher","PARASTACIDAE","Ombrastacoides","3",17.9,NA,NA,NA,2,3,319.17,82.95238095,3109.714286,1661.52381,23.28571429,418,0,0.622000009,0.273149997,0.086750001,0,0.065650001,0.664200008,0
"305","Orconectes acares","CAMBARIDAE","Orconectes","1",9.9,NA,NA,NA,2,1,50576.05,161.7784011,7842.917602,1320.382539,18.08520337,23,0.203315789,0.977942093,0.702447367,0.657647368,0.520384208,0.480784209,0.271084216,18.15673212
"306","Orconectes alabamensis","CAMBARIDAE","Orconectes","1",35,154,0.60536398467433,0.411392405063291,1,1,17636.34,148.1796644,7823.408687,1420.76308,17.69002962,118,0.166362503,0.974025004,0.422800004,0.693362497,0.510175016,0.749087505,0.515174992,23.3958539
"307","Orconectes australis","CAMBARIDAE","Orconectes","1",48,80,NA,0.257950530035336,1,4,27513.19,139.7046467,7737.012731,1431.666454,15.70655633,170,0.336455557,0.976755559,0.408744444,0.614077773,0.539477775,0.611522231,0.299711108,46.6359007
"308","Orconectes barrenensis","CAMBARIDAE","Orconectes","1",30.5,NA,0.601190476190476,0.455445544554455,1,1,14821.94,134.9619816,8323.404378,1308.798387,13.57258065,124,0.400066666,0.959283342,0.895516664,0.955383341,0.926333328,0.828733315,0.696366648,25.56221198
"310","Orconectes bisectus","CAMBARIDAE","Orconectes","3",37.4,146,0.679310344827586,0.416243654822335,2,1,16800.46,129.4546371,9008.762097,1118.954637,17.56048387,103,0.42678571,0.961128567,0.731614292,0.903299996,0.311142858,0.906542846,0.643642877,14.34475806
"311","Orconectes burri","CAMBARIDAE","Orconectes","2",33.5,NA,0.643153526970954,0.464516129032258,1,1,6431.6,141.7513369,8382.778075,1334.919786,14.55347594,105,0.302433329,0.773599982,0.438333333,0.674833337,0.518966685,0.75303332,0.695433319,22.36898396
"312","Orconectes carolinensis","CAMBARIDAE","Orconectes","1",34.1,111,0.592592592592593,0.397727272727273,1,1,28511.59,156.0140244,7361.429268,1225.339024,18.62682927,0,0.423933332,0.318627263,0.654808323,0.746950001,0.605808333,0.695125004,0.1822,58.08719512
"313","Orconectes causeyi","CAMBARIDAE","Orconectes","1",31.2,588,0.753205128205128,0.442553191489362,3,1,1842340.47,NA,7953.761752,696.3889488,45.82932915,0,0.553224528,0.843537894,0.86680042,0.87389979,0.631556394,0.685538573,0.434623692,19.74795307
"314","Orconectes chickasawae","CAMBARIDAE","Orconectes","1",40.8,274,0.785326086956522,0.411764705882353,3,2,69316.13,161.5582885,7555.156802,1417.718166,19.94850115,22,0.195635714,0.797717857,0.45518214,0.659339283,0.450671431,0.650239282,0.275003568,23.36945939
"315","Orconectes compressus","CAMBARIDAE","Orconectes","1",25.5,57,NA,NA,1,1,141270.04,135.0961042,7866.905371,1348.981443,14.55143173,105,0.339380358,0.946141074,0.458396428,0.67579464,0.561428575,0.684042859,0.486698204,44.84699521
"316","Orconectes cooperi","CAMBARIDAE","Orconectes","1",31.8,NA,0.588628762541806,0.414772727272727,1,1,2638.71,146.9127517,7694.986577,1450.624161,17.87248322,177,0.494599998,0.951900005,0.391900003,0.640200019,0.527499974,0.654299974,0.333600014,35.93959732
"317","Orconectes cristavarius","CAMBARIDAE","Orconectes","1",40.2,74,0.595419847328244,0.403846153846154,1,1,151880,115.6245575,8510.454204,1135.130199,15.42300885,93,0.382607574,0.957946965,0.588860606,0.686945453,0.593651514,0.639359088,0.371145451,53.25807522
"318","Orconectes deanae","CAMBARIDAE","Orconectes","1",41,NA,0.668571428571428,0.205128205128205,3,2,58185.73,152.7686298,8567.326923,837.4963942,41.16135817,133,0.47991905,0.977147616,0.903471424,0.926200007,0.709095241,0.736633332,0.550952372,24.61899038
"319","Orconectes difficilis","CAMBARIDAE","Orconectes","1",45,NA,NA,NA,1,1,65217.7,155.6376616,8369.614224,938.950431,35.89628233,81,0.35767308,0.97638461,0.876619229,0.903757694,0.681407693,0.718596154,0.520884608,17.23195043
"320","Orconectes durelli","CAMBARIDAE","Orconectes","1",35,121,NA,0.495495495495495,1,1,59077.65,138.4424313,8154.09322,1325.104909,14.62711864,105,0.272424134,0.944196551,0.492968967,0.711086203,0.581475867,0.732513795,0.603068952,39.16452367
"321","Orconectes erichsonianus","CAMBARIDAE","Orconectes","1",44.7,347,NA,NA,1,1,128631.17,150.7340778,7306.707472,1393.410119,17.2216708,5,0.352302128,0.808302135,0.496948935,0.624429786,0.575314891,0.536661704,0.36064894,41.91053212
"322","Orconectes etnieri","CAMBARIDAE","Orconectes","1",32,197,0.635135135135135,0.382978723404255,1,1,38382.16,157.1269549,7839.046458,1395.880405,19.4825207,45,0.181842856,0.845299993,0.45150714,0.696457135,0.46290714,0.708900005,0.358214278,45.03081877
"323","Orconectes eupunctus","CAMBARIDAE","Orconectes","3",34.7,97,0.730769230769231,0.447368421052632,1,1,9862.38,139.0228873,8605.602113,1170.413732,17.05105634,66,0.154240001,0.939100003,0.539160013,0.72931999,0.42396,0.747839999,0.287280005,9.549295775
"324","Orconectes forceps","CAMBARIDAE","Orconectes","1",25.5,NA,NA,NA,1,1,82070.02,131.519685,7578.817408,1389.296659,14.4166844,118,0.351806454,0.943919361,0.447580644,0.631712904,0.565700003,0.609903229,0.418509671,47.54032773
"325","Orconectes harrisonii","CAMBARIDAE","Orconectes","1",14.8,NA,NA,NA,1,1,12588.73,125.5989233,9015.063257,1038.41319,19.36473755,111,0.191880004,0.896099997,0.734780002,0.781900001,0.610400009,0.657700002,0.634899974,49.41318977
"326","Orconectes hartfieldi","CAMBARIDAE","Orconectes","3",35.8,NA,0.640569395017794,0.416666666666667,1,1,15143.98,163.3707602,7640.831579,1419.596491,20.42339181,33,0.061080001,0.87349999,0.422059995,0.652999997,0.385879999,0.655239987,0.191039997,15.51345029
"327","Orconectes hathawayi","CAMBARIDAE","Orconectes","1",36,NA,0.794117647058823,0.277777777777778,1,1,24550.76,193.6375283,6437.483798,1489.525998,15.47550867,0,0.29352223,0.646771431,0.721444448,0.746277769,0.401311106,0.638211111,0.346033338,31.07159005
"330","Orconectes hylas","CAMBARIDAE","Orconectes","1",15.7,146,NA,NA,2,1,17614.69,128.280888,8951.387066,1072.356178,18.74517375,80,0.150112503,0.922562502,0.672562502,0.758524999,0.53975001,0.706500001,0.548049983,38.43146718
"331","Orconectes illinoiensis","CAMBARIDAE","Orconectes","1",47.9,175,0.618075801749271,0.316037735849057,1,1,30548.82,130.5889197,9012.477562,1125.877562,17.05817175,93,0.339292304,0.924423071,0.681353844,0.874376921,0.362446152,0.889046146,0.637846158,20.95955679
"332","Orconectes immunis","CAMBARIDAE","Orconectes","1",31.4,423,NA,NA,6,2,7215441.7,NA,11086.38766,744.7110123,36.94144395,-4,0.210498182,0.595956263,0.507777037,0.41077222,0.211847349,0.340428022,0.205625965,15.02065809
"333","Orconectes incomptus","CAMBARIDAE","Orconectes","3",24.5,NA,0.8125,0.351648351648352,1,4,8947.29,136.3529412,7834.958824,1431.884314,14.22745098,164,0.187924996,0.986550003,0.316074997,0.631624997,0.438824996,0.725824997,0.575699985,23.71764706
"334","Orconectes indianensis","CAMBARIDAE","Orconectes","1",35,178,NA,NA,1,1,25802.22,129.7486877,9002.58727,1123.143701,17.47112861,103,0.465609996,0.955259997,0.730000001,0.894419998,0.419499999,0.906579995,0.655740011,25.10629921
"335","Orconectes inermis","CAMBARIDAE","Orconectes","1",36.9,45,0.848396501457726,0.257731958762887,1,4,63042.49,122.2904775,8858.79888,1151.094692,16.70605495,106,0.469230771,0.96972692,0.712911537,0.868680771,0.652357689,0.833103845,0.598323066,64.73512937
"336","Orconectes jeffersoni","CAMBARIDAE","Orconectes","4",36,NA,0.616788321167883,0.461538461538462,1,1,19132.87,127.715049,8636.087266,1187.406946,15.16117542,114,0.440733335,0.965211113,0.715700004,0.849633336,0.721677774,0.80177778,0.588544428,75.05342832
"338","Orconectes juvenilis","CAMBARIDAE","Orconectes","1",15.7,141,NA,NA,1,1,29785.36,123.8824201,8256.414954,1213.480594,13.79394977,152,0.323758331,0.968925009,0.476450006,0.629216671,0.566033341,0.644974999,0.465208322,39.93550228
"339","Orconectes kentuckiensis","CAMBARIDAE","Orconectes","1",42,248,0.533613445378151,0.52755905511811,2,1,16800.46,129.4546371,9008.762097,1118.954637,17.56048387,103,0.42678571,0.961128567,0.731614292,0.903299996,0.311142858,0.906542846,0.643642877,14.34475806
"340","Orconectes lancifer","CAMBARIDAE","Orconectes","1",32.6,570,NA,NA,2,2,442643.57,176.7723508,7197.914922,1375.560534,18.11429388,-4,0.277966871,0.738776728,0.642696934,0.727542331,0.471341716,0.634280982,0.281812651,37.20447219
"341","Orconectes leptogonopodus","CAMBARIDAE","Orconectes","1",34.6,NA,0.731958762886598,0.464788732394366,1,1,23356.36,160.0075988,7840.299392,1355.927812,18.9156535,52,0.156387495,0.985762477,0.705424994,0.645187501,0.521399993,0.483262502,0.250175007,10.17933131
"342","Orconectes limosus","CAMBARIDAE","Orconectes","1",61,440,0.520766773162939,0.380368098159509,3,1,2541497.61,NA,10907.2103,869.8270856,26.83195206,-15,0.124952358,0.362177077,0.268306919,0.191862343,0.130880739,0.177494418,0.107423239,31.53234057
"343","Orconectes longidigitus","CAMBARIDAE","Orconectes","1",44.7,NA,NA,NA,3,1,13515.86,140.0458015,8414.768448,1148.900763,20.22773537,67,0.116839997,0.975179994,0.596379995,0.772459996,0.52022,0.695939994,0.229840004,18.68320611
"344","Orconectes luteus","CAMBARIDAE","Orconectes","1",47.2,286,NA,NA,1,1,60046.59,133.1337888,8985.460575,1086.803871,27.2342727,66,0.260329628,0.960288889,0.694181482,0.838340735,0.552862965,0.809329631,0.494814803,17.30572161
"345","Orconectes macrus","CAMBARIDAE","Orconectes","1",23.7,63,0.796954314720812,0.496815286624204,1,1,58382.81,139.7456089,9114.295375,1007.693794,35.96896956,149,0.405666663,0.97148334,0.797237506,0.876474999,0.656091665,0.806712493,0.54559166,26.52137002
"347","Orconectes marchandi","CAMBARIDAE","Orconectes","2",26.7,112,0.655963302752294,0.41958041958042,4,1,9118.3,137.9184061,8612.487666,1166.702087,17.03036053,69,0.070474999,0.942450002,0.531975016,0.717899993,0.429475002,0.700599998,0.287500009,9.618595825
"348","Orconectes margorectus","CAMBARIDAE","Orconectes","2",44.7,400,0.63716814159292,0.409722222222222,1,1,28685.86,134.230815,8766.04997,1196.361095,16.39916716,98,0.33168333,0.907608325,0.610775004,0.815466662,0.394991674,0.853008325,0.64913334,17.21772754
"349","Orconectes medius","CAMBARIDAE","Orconectes","1",33,NA,NA,NA,1,1,8354.18,125.6830266,9008.04499,1032.149284,19.96523517,121,0.223933342,0.904466669,0.713166674,0.748033345,0.601233343,0.620033324,0.634899974,55.56850716
"350","Orconectes meeki","CAMBARIDAE","Orconectes","1",27.6,NA,0.803858520900322,0.456,1,1,52448.99,151.4955045,8187.044955,1214.35631,20.17848818,25,0.244743748,0.975956243,0.692156252,0.784862503,0.569543755,0.669668751,0.233024999,26.09324009
"351","Orconectes menae","CAMBARIDAE","Orconectes","1",47.2,NA,NA,NA,1,1,52478.32,159.5964262,7972.876264,1261.980108,21.07788267,52,0.14261739,0.982739114,0.760973912,0.759173915,0.598126086,0.597330432,0.339669566,12.93830074
"352","Orconectes mirus","CAMBARIDAE","Orconectes","1",51.7,NA,NA,NA,1,1,22785.97,145.8886311,7709.897138,1448.245166,17.19876257,170,0.333028574,0.971485717,0.420957144,0.673685712,0.534185712,0.704057144,0.467585708,53.02397525
"354","Orconectes nais","CAMBARIDAE","Orconectes","1",27,NA,NA,NA,7,1,1334293.32,NA,8021.117246,703.6900235,46.45878447,1,0.606464655,0.829560808,0.904499427,0.927812069,0.717058047,0.759506895,0.512213221,22.94265486
"355","Orconectes nana","CAMBARIDAE","Orconectes","1",24.6,NA,0.849593495934959,0.468899521531101,1,1,16014.1,145.9632829,8462.542117,1129.611231,25.80237581,149,0.369116664,0.973233332,0.716500004,0.840683351,0.610633338,0.778433333,0.35376666,29.94924406
"356","Orconectes neglectus","CAMBARIDAE","Orconectes","1",47.9,505,0.841642228739003,0.337979094076655,1,1,130950.77,148.4045509,8653.778278,1073.126869,28.24857785,43,0.314965998,0.974553999,0.777004005,0.847280002,0.637979999,0.741185994,0.414675997,22.00806985
"357","Orconectes obscurus","CAMBARIDAE","Orconectes","1",43.8,250,0.70846394984326,0.438053097345133,2,1,615244.48,NA,8854.976029,1044.587846,14.64571398,-15,0.442649999,0.758504978,0.601454167,0.659025757,0.567901516,0.572628409,0.355218489,128.0981997
"358","Orconectes ozarkae","CAMBARIDAE","Orconectes","1",35.9,287,0.751724137931035,0.454128440366972,3,1,47358.64,137.6905455,8543.472364,1151.097818,18.72945455,66,0.09368,0.959114999,0.574380001,0.726199993,0.467030001,0.685984999,0.281944999,11.63236364
"359","Orconectes packardi","CAMBARIDAE","Orconectes","4",33.3,NA,0.789072847682119,0.273758865248227,1,4,29853.11,128.2372493,8136.233811,1293.66361,12.91805158,140,0.325739998,0.974240005,0.535080002,0.680239999,0.644833338,0.674413335,0.468266654,27.94899713
"360","Orconectes pagei","CAMBARIDAE","Orconectes","1",34.6,101,0.543795620437956,0.395973154362416,1,1,23514.31,146.0693727,8264.938007,1353.220664,15.98154982,76,0.221639997,0.879369992,0.421740004,0.711830002,0.426790008,0.788280004,0.635499984,23.37195572
"361","Orconectes palmeri","CAMBARIDAE","Orconectes","1",43.5,354,NA,NA,3,1,1048800.81,NA,8079.634712,1212.284524,22.84462358,-4,0.326486699,0.881464675,0.671085222,0.776869457,0.551778817,0.704286452,0.418320829,31.19267468
"362","Orconectes pardalotus","CAMBARIDAE","Orconectes","4",36.4,NA,0.829617785193425,0.409952606635071,1,1,3145.37,137.7446809,8848.281915,1211.739362,14.9787234,93,0.094499998,0.773599982,0.644099981,0.837400019,0.582399994,0.877049983,0.628499985,29.64893617
"363","Orconectes pellucidus","CAMBARIDAE","Orconectes","1",36.8,NA,0.529891304347826,0.4,1,4,60382.09,136.0586568,8521.922358,1249.802494,15.21592519,103,0.395559996,0.934164,0.665504001,0.839283998,0.586676004,0.830523994,0.647147994,38.3465571
"364","Orconectes perfectus","CAMBARIDAE","Orconectes","1",28,NA,NA,NA,1,1,73761.91,169.53739,7201.038612,1438.886119,20.07233627,10,0.251359999,0.702090013,0.508836664,0.621250001,0.538039998,0.528543334,0.306800008,29.21041056
"365","Orconectes peruncus","CAMBARIDAE","Orconectes","3",26.8,123,NA,NA,1,1,17420,146.7333994,8745.725471,1220.377602,18.26560951,58,0.391324997,0.773599982,0.678900018,0.898249999,0.471050002,0.984899998,0.460999988,17.8543112
"366","Orconectes placidus","CAMBARIDAE","Orconectes","1",52,134,NA,NA,1,1,162336.3,133.4359166,7910.544842,1347.185142,14.72870123,98,0.321370769,0.945090771,0.451607692,0.664858459,0.502581542,0.676106155,0.484430763,40.25184393
"367","Orconectes propinquus","CAMBARIDAE","Orconectes","1",40.5,250,NA,NA,3,1,4571495.35,NA,11268.75315,808.2024154,31.72366514,-15,0.153379591,0.522100315,0.41731992,0.307848955,0.175363895,0.274740996,0.183766533,27.41000846
"368","Orconectes punctimanus","CAMBARIDAE","Orconectes","1",51.2,NA,NA,NA,1,1,94753.94,136.3465364,8800.570989,1132.060951,18.75601375,51,0.169156758,0.898694589,0.637424327,0.783572969,0.50535676,0.748497299,0.453494581,33.3472599
"369","Orconectes putnami","CAMBARIDAE","Orconectes","1",44.9,175,NA,NA,1,1,103886.83,136.7851938,8279.040576,1300.327261,15.30606161,106,0.354579068,0.960965119,0.590688373,0.78418372,0.637006978,0.78785349,0.604146497,45.23915204
"370","Orconectes quadruncus","CAMBARIDAE","Orconectes","3",32.6,75,NA,NA,1,1,40305.33,136.3887707,8870.404934,1144.038707,18.28030625,58,0.225475001,0.874793746,0.658525001,0.80351875,0.496775005,0.796687502,0.547999982,26.75031901
