Final code,Family,Subfamily,Tribe,GENUS,SPECIES,taxon_name,taxon_name_original,taxname_source,Size_mm,Flightless,Feeding
COL079,STAPHYLINIDAE,PSELAPHINAE,EUPLECTINI,Plectusodes,,,Plectusodes COL079,,1.4,0,PRE
B134,STAPHYLINIDAE,ALEOCHARINAE,,Polylobus?,,,Polylobus B134,,,0,PRE
B136,STAPHYLINIDAE,ALEOCHARINAE,,Polylobus?,,,Polylobus B136,,,0,PRE
COL327,CARABIDAE,BROSCINI,,Promecoderus,sp.,,Promecoderus sp. COL327,,15,1,PRE
B371,CARABIDAE,PTEROSTICHINI,,Prosopogmus ,,,Prosopogmus B371,,,0,PRE
COL339,CARABIDAE,PTEROSTICHINI,,Prosopogmus ,,,Prosopogmus COL339,,7.7,0,PRE
COL152,STAPHYLINIDAE,PSELAPHINAE,EUPLECTINI,Protoplectus,,,Protoplectus COL152,,0.9,0,PRE
B185,STAPHYLINIDAE,PSELAPHINAE,,,,,Pselaphinae B185,,,0,PRE
B224,STAPHYLINIDAE,PSELAPHINAE,,,,,Pselaphinae B224,,,0,PRE
B379,STAPHYLINIDAE,PSELAPHINAE,,,,,Pselaphinae B379,,,0,PRE
B271,STAPHYLINIDAE,,,Pselaphophus,,,Pselaphophus B271,,,0,PRE
COL230,LEIODIDAE,CHOLEVINI,,Pseudonemadus ,,,Pseudonemadus COL230,,2.4,0,SAP
B382,CARABIDAE,PTEROSTICHINI,,,,,Pterostichini B382,,,,PRE
COL069,STAPHYLINIDAE,STAPHYLININAE,,Quedius,,,Quedius COL069,,3.9,0,PRE
COL071,STAPHYLINIDAE,STAPHYLININAE,,Quedius,,,Quedius COL071,,6,0,PRE
COL532,STAPHYLINIDAE,ALEOCHARINAE,,Quedius,,,Quedius COL532,,3.7,0,PRE
COL619,STAPHYLINIDAE,ALEOCHARINAE,,Quedius,,,Quedius COL619,,9.9,0,PRE
COL647,STAPHYLINIDAE,ALEOCHARINAE,,Quedius,,,Quedius COL647,,4.3,0,PRE
COL178,PTILIIDAE,,,Rodwayia,,,Rodwayia COL178,,0.7,1,MYR
B399,STAPHYLINIDAE,PSELAPHINAE,GONIACERINI,Rybaxis,,,Rybaxis B399,,,,PRE
B370,STAPHYLINIDAE,SCAPHIDIINAE,,,,,Scaphidiinae B370,,,,MYC
B411,STAPHYLINIDAE,SCAPHIDIINAE,,,,,Scaphidiinae B411,,,0,MYC
B172,STAPHYLINIDAE,SCAPHIDIINAE,,Scaphisoma ,,,Scaphisoma B172,,,,MYC
B316,STAPHYLINIDAE,SCAPHIDIINAE,,Scaphisoma,,,Scaphisoma B316,,,0,MYC
COL062,STAPHYLINIDAE,SCAPHIDIINAE,,Scaphisoma,,,Scaphisoma COL062,,1.3,0,MYC
B381,SCARABAEIDAE,SCARABAEINAE,,,,,Scarabaeinae B381,,,,SAP
B160,STAPHYLINIDAE,SCAPHIDIINAE,,Sciatrophes,,,Sciatrophes B160,,,0,MYC
B036,CURCULIONIDAE,SCOLYTINAE,,,,,Scolytinae B036,,,0,XYL-MYC
B178,CURCULIONIDAE,SCOLYTINAE,,,,,Scolytinae B178,,,0,XYL-MYC
B237,CURCULIONIDAE,SCOLYTINAE,,,,,Scolytinae B237,,,0,XYL-MYC
B162,STAPHYLINIDAE,SCYDMAENINAE,,,,,Scydmaeninae B162,,,0,PRE
COL140,STAPHYLINIDAE,TACHYPORINAE,,Sepedophilus,,,Sepedophilus COL140,,2.7,0,PRE
COL101,CORYLOPHIDAE,CORYLOPHINAE,SERICODERINI,Sericoderus,,,Sericoderus COL101,,0.8,0,MYC
COL200,CORYLOPHIDAE,CORYLOPHINAE,SERICODERINI,Sericoderus,,,Sericoderus COL200,,1.4,0,MYC
COL741,SILVANIDAE,SILVANINAE,,Silvanolomus ,,,Silvanolomus COL741,,1.9,0,MYC?
COL163,SILVANIDAE,SILVANINAE,,Silvanus,,,Silvanus COL163,,2.8,0,MYC?
B112,STAPHYLINIDAE,,,,,,Staphylinidae B112,,,0,PRE
B255,STAPHYLINIDAE,,,,,,Staphylinidae B255,,,0,PRE
B277,STAPHYLINIDAE,,,,,,Staphylinidae B277,,,0,PRE
B326,STAPHYLINIDAE,,,,,,Staphylinidae B326,,,0,PRE
B369,STAPHYLINIDAE,,,,,,Staphylinidae B369,,,0,PRE
B236,STAPHYLINIDAE,STAPHYLININAE,,,,,Staphylininae B236,,,,PRE
B278,STAPHYLINIDAE,STAPHYLININAE,,,,,Staphylininae B278,,,,PRE
COL369,HISTERIDAE,TERETRIINI,,Teretriosoma,,,Teretriosoma COL369,,2.8,0,PRE
B309,CLERIDAE,Thaneroclerus,,,,,Thaneroclerus B309,,,,PRE
COL251,ANTHICIDAE,,,Trichananca,,,Trichananca COL251,,3.9,1,SAP
COL318,ANTHICIDAE,,,Trichananca,,,Trichananca COL318,,3.8,0,SAP
COL562,ANTHICIDAE,,,Trichananca,,,Trichananca COL562,,3.8,1,SAP
COL022,LEIODIDAE,LEODINAE,,Zeadolopus,,,Zeadolopus COL022,,1.8,0,SAP
COL425,STAPHYLINIDAE,STAPHYLININAE,,Zeteotomus,,,Zeteotomus COL425,,3,0,PRE
