original_name,updated_name,resprouting_binomial,seeding_binomial,min_maturity_primary,avg_maturity_primary,bin_maturity_primary,min_maturity_secondary,avg_maturity_secondary,resprouting_binomial_score,seeding_binomial_score,min_maturity_primary_score,avg_maturity_primary_score,bin_maturity_primary_score,min_maturity_secondary_score,avg_maturity_secondary_score,score_GM
Eucalyptus tetradonta,Eucalyptus tetrodonta,TRUE,TRUE,NA,NA,10--,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Eucalyptus tetragona,Eucalyptus tetrodonta,TRUE,TRUE,NA,NA,10--,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Eucalyptus tetraptera,Eucalyptus tetraptera,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus tetrodonta,Eucalyptus tetrodonta,TRUE,TRUE,NA,NA,10--,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Eucalyptus thozetiana,Eucalyptus thozetiana,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Eucalyptus tindaliae,Eucalyptus tindaliae,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus torquata,Eucalyptus torquata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus trachyphloia,Corymbia trachyphloia,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Eucalyptus transcontinentalis,Eucalyptus transcontinentalis,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Eucalyptus umbra,Eucalyptus umbra,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus uncinata,Eucalyptus uncinata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus viminalis,Eucalyptus viminalis,TRUE,TRUE,5,NA,5--20,3,NA,0.2,0.2,0.2,NA,1,0.2,NA,0.2759459323
Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis subsp. viminalis,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Eucalyptus wandoo,Eucalyptus wandoo,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus willisii,Eucalyptus willisii,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Eucalyptus woollsiana,Eucalyptus woollsiana,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Euchiton argentifolius,Argyrotegium mackayi,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Euphrasia collina subsp. diversicolor,Euphrasia collina subsp. diversicolor,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Euphrasia crassiuscula,Euphrasia crassiuscula,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Euroschinus falcata,Euroschinus falcata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eutaxia,Eutaxia,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Ewartia nubigena,Ewartia nubigena,TRUE,FALSE,NA,NA,1--5,NA,NA,0.2,1,NA,NA,0.2,NA,NA,0.3419951893
Exocarpos cupressiformis,Exocarpos cupressiformis,TRUE,TRUE,5,NA,5--20,1.182170543,NA,0.2,0.2,0.2,NA,1,0.2,NA,0.2759459323
Ficus benjamina,Ficus benjamina,TRUE,NA,NA,NA,6--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Ficus macrophylla,Ficus macrophylla,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Ficus opposita,Ficus opposita,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Ficus rubiginosa,Ficus rubiginosa,TRUE,TRUE,3,NA,5--20,2.713178295,2.7,0.2,0.2,0.2,NA,1,0.2,0.2,0.2615320972
Ficus watkinsiana,Ficus watkinsiana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Flindersia brayleyana,Flindersia brayleyana,TRUE,NA,NA,NA,0--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Flindersia maculosa,Flindersia maculosa,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Gahnia,Gahnia,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Gahnia erythrocarpa,Gahnia erythrocarpa,TRUE,NA,3,NA,NA,1.763565891,NA,0.2,NA,0.2,NA,NA,0.2,NA,0.2
Gahnia lanigera,Gahnia lanigera,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Gahnia sieberiana,Gahnia sieberiana,TRUE,TRUE,2,NA,5--20,NA,2,0.2,0.2,0.2,NA,1,NA,0.2,0.2759459323
Gastrolobium grandiflorum,Gastrolobium grandiflorum,TRUE,NA,NA,NA,2--3,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Gastrolobium spinosum,Gastrolobium spinosum,FALSE,TRUE,NA,3,NA,NA,NA,1,0.2,NA,0.2,NA,NA,NA,0.3419951893
Geijera parviflora,Geijera parviflora,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Gentianella diemensis,Gentianella diemensis,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Gentianella muelleriana,Gentianella muelleriana,FALSE,TRUE,NA,NA,1--5,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Glischrocaryon roei,Glischrocaryon roei,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Gompholobium,Gompholobium,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Goodenia,Goodenia,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Goodenia paniculata,Goodenia paniculata,TRUE,NA,1,NA,0--1,NA,0.5,0.2,NA,0.2,NA,0.2,NA,0.2,0.2
Grevillea,Grevillea,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Grevillea australis,Grevillea australis,TRUE,TRUE,10,NA,5--20,NA,NA,0.2,0.2,1,NA,1,NA,NA,0.4472135955
Grevillea buxifolia,Grevillea buxifolia,TRUE,FALSE,1.666667,NA,NA,NA,NA,0.2,1,0.2,NA,NA,NA,NA,0.3419951893
Grevillea eriostachya,Grevillea eriostachya,TRUE,TRUE,NA,NA,4--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Grevillea juncifolia,Grevillea juncifolia,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Grevillea lanigera,Grevillea lanigera,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.5848035476
Grevillea nematophylla,Grevillea nematophylla,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Grevillea petrophiloides,Grevillea petrophiloides,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Grevillea pinaster,Grevillea pinaster,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Grevillea pterosperma,Grevillea pterosperma,TRUE,TRUE,NA,NA,6--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Guioa lasioneura,Guioa lasioneura,TRUE,TRUE,NA,NA,5--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
