original_name,aligned_name,accepted_name,suggested_name,genus,taxon_rank,taxonomic_dataset,taxonomic_status,scientific_name,aligned_reason,update_reason,number_of_collapsed_taxa
Eucalyptus tetrodonta,Eucalyptus tetrodonta,Eucalyptus tetrodonta,Eucalyptus tetrodonta,Eucalyptus,species,APC,accepted,Eucalyptus tetrodonta F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Eucalyptus thozetiana,Eucalyptus thozetiana,Eucalyptus thozetiana,Eucalyptus thozetiana,Eucalyptus,species,APC,accepted,Eucalyptus thozetiana (F.Muell. ex Maiden) R.T.Baker,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Eucalyptus tindaliae,Eucalyptus tindaliae,Eucalyptus tindaliae,Eucalyptus tindaliae,Eucalyptus,species,APC,accepted,Eucalyptus tindaliae Blakely,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Eucalyptus torquata,Eucalyptus torquata,Eucalyptus torquata,Eucalyptus torquata,Eucalyptus,species,APC,accepted,Eucalyptus torquata Luehm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Eucalyptus trachyphloia,Eucalyptus trachyphloia,Corymbia trachyphloia,Corymbia trachyphloia,Corymbia,species,APC,accepted,Corymbia trachyphloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Eucalyptus transcontinentalis,Eucalyptus transcontinentalis,Eucalyptus transcontinentalis,Eucalyptus transcontinentalis [alternative possible names: Eucalyptus socialis subsp. victoriensis (pro parte misapplied) | Eucalyptus socialis subsp. viridans (pro parte misapplied)],Eucalyptus,species,APC,accepted,Eucalyptus transcontinentalis Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Eucalyptus umbra,Eucalyptus umbra,Eucalyptus umbra,Eucalyptus umbra,Eucalyptus,species,APC,accepted,Eucalyptus umbra R.T.Baker,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Eucalyptus uncinata,Eucalyptus uncinata,Eucalyptus uncinata,Eucalyptus uncinata,Eucalyptus,species,APC,accepted,Eucalyptus uncinata Turcz.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Eucalyptus viminalis,Eucalyptus viminalis,Eucalyptus viminalis,Eucalyptus viminalis [alternative possible names: Corymbia tessellaris (taxonomic synonym) | Eucalyptus dalrympleana subsp. dalrympleana (pro parte misapplied) | Eucalyptus diversifolia subsp. diversifolia (pro parte misapplied)],Eucalyptus,species,APC,accepted,Eucalyptus viminalis Labill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis subsp. viminalis,Eucalyptus,subspecies,APC,accepted,Eucalyptus viminalis Labill. subsp. viminalis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Eucalyptus wandoo,Eucalyptus wandoo,Eucalyptus wandoo,Eucalyptus wandoo,Eucalyptus,species,APC,accepted,Eucalyptus wandoo Blakely,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Eucalyptus willisii,Eucalyptus willisii,Eucalyptus willisii,Eucalyptus willisii,Eucalyptus,species,APC,accepted,"Eucalyptus willisii Ladiges, Humphries & Brooker",Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Eucalyptus woollsiana,Eucalyptus woollsiana,Eucalyptus woollsiana,Eucalyptus woollsiana,Eucalyptus,species,APC,accepted,Eucalyptus woollsiana R.T.Baker,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Euchiton argentifolius,Euchiton argentifolius,Argyrotegium mackayi,Argyrotegium mackayi,Argyrotegium,species,APC,accepted,Argyrotegium mackayi (Buchanan) J.M.Ward & Breitw.,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),taxonomic synonym,NA
Eugenia,Eugenia sp. [Eugenia],NA,Eugenia sp. [Eugenia],Eugenia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Eugenia ventenatii,Eugenia ventenatii,Syzygium floribundum,Syzygium floribundum,Syzygium,species,APC,accepted,Syzygium floribundum F.Muell.,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),taxonomic synonym,NA
Euodia,Euodia sp. [Euodia],NA,Euodia sp. [Euodia],Euodia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Euphorbiaceae,Euphorbiaceae sp. [Euphorbiaceae],NA,Euphorbiaceae sp. [Euphorbiaceae],NA,family,APC,family accepted,NA,Exact match of the first word of the taxon name to an APC-accepted family (2023-09-15),NA,NA
Euphrasia collina subsp. diversicolor,Euphrasia collina subsp. diversicolor,Euphrasia collina subsp. diversicolor,Euphrasia collina subsp. diversicolor,Euphrasia,subspecies,APC,accepted,Euphrasia collina subsp. diversicolor W.R.Barker,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Euphrasia crassiuscula,Euphrasia crassiuscula,Euphrasia crassiuscula,Euphrasia crassiuscula,Euphrasia,species,APC,accepted,Euphrasia crassiuscula Gand.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Euroschinus falcata,Euroschinus falcata,Euroschinus falcata,Euroschinus falcata,Euroschinus,species,APC,accepted,Euroschinus falcata Hook.f.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Eutaxia,Eutaxia sp. [Eutaxia],NA,Eutaxia sp. [Eutaxia],Eutaxia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Ewartia nubigena,Ewartia nubigena,Ewartia nubigena,Ewartia nubigena,Ewartia,species,APC,accepted,Ewartia nubigena (F.Muell.) Beauverd,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Excoecaria agallocha,Excoecaria agallocha,Excoecaria agallocha,Excoecaria agallocha,Excoecaria,species,APC,accepted,Excoecaria agallocha L.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Exocarpos cupressiformis,Exocarpos cupressiformis,Exocarpos cupressiformis,Exocarpos cupressiformis,Exocarpos,species,APC,accepted,Exocarpos cupressiformis Labill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Fabaceae,Fabaceae sp. [Fabaceae],NA,Fabaceae sp. [Fabaceae],NA,family,APC,family accepted,NA,Exact match of the first word of the taxon name to an APC-accepted family (2023-09-15),NA,NA
Ficus,Ficus sp. [Ficus],NA,Ficus sp. [Ficus],Ficus,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Ficus benjamina,Ficus benjamina,Ficus benjamina,Ficus benjamina,Ficus,species,APC,accepted,Ficus benjamina L.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Ficus columnaris,Ficus columnaris,Ficus macrophylla f. columnaris,Ficus macrophylla f. columnaris,Ficus,species,APC,accepted,Ficus macrophylla f. columnaris (C.Moore) D.J.Dixon,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Ficus macrophylla,Ficus macrophylla,Ficus macrophylla,Ficus macrophylla,Ficus,species,APC,accepted,Ficus macrophylla Desf. ex Pers.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Ficus opposita,Ficus opposita,Ficus opposita,Ficus opposita,Ficus,species,APC,accepted,Ficus opposita Miq.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Ficus rubiginosa,Ficus rubiginosa,Ficus rubiginosa,Ficus rubiginosa [alternative possible names: Ficus macrophylla f. columnaris (pro parte misapplied)],Ficus,species,APC,accepted,Ficus rubiginosa Desf. ex Vent.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Ficus watkinsiana,Ficus watkinsiana,Ficus watkinsiana,Ficus watkinsiana,Ficus,species,APC,accepted,Ficus watkinsiana F.M.Bailey,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Flindersia australis,Flindersia australis,Flindersia australis,Flindersia australis,Flindersia,species,APC,accepted,Flindersia australis R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Flindersia brayleyana,Flindersia brayleyana,Flindersia brayleyana,Flindersia brayleyana,Flindersia,species,APC,accepted,Flindersia brayleyana F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Flindersia maculosa,Flindersia maculosa,Flindersia maculosa,Flindersia maculosa,Flindersia,species,APC,accepted,Flindersia maculosa (Lindl.) Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Flindersia xanthoxyla,Flindersia xanthoxyla,Flindersia xanthoxyla,Flindersia xanthoxyla,Flindersia,species,APC,accepted,Flindersia xanthoxyla (A.Cunn. ex Hook.) Domin,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Fraxinus angustifolia,Fraxinus angustifolia,Fraxinus angustifolia,Fraxinus angustifolia,Fraxinus,species,APC,accepted,Fraxinus angustifolia Vahl,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Fraxinus excelsior,Fraxinus excelsior,Fraxinus excelsior,Fraxinus excelsior,Fraxinus,species,APC,accepted,Fraxinus excelsior L.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Gahnia,Gahnia sp. [Gahnia],NA,Gahnia sp. [Gahnia],Gahnia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Gahnia erythrocarpa,Gahnia erythrocarpa,Gahnia erythrocarpa,Gahnia erythrocarpa,Gahnia,species,APC,accepted,Gahnia erythrocarpa R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Gahnia lanigera,Gahnia lanigera,Gahnia lanigera,Gahnia lanigera,Gahnia,species,APC,accepted,Gahnia lanigera (R.Br.) Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Gahnia sieberiana,Gahnia sieberiana,Gahnia sieberiana,Gahnia sieberiana,Gahnia,species,APC,accepted,Gahnia sieberiana Kunth,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Gastrolobium floribundum,Gastrolobium floribundum,Gastrolobium floribundum,Gastrolobium floribundum,Gastrolobium,species,APC,accepted,Gastrolobium floribundum S.Moore,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Gastrolobium grandiflorum,Gastrolobium grandiflorum,Gastrolobium grandiflorum,Gastrolobium grandiflorum,Gastrolobium,species,APC,accepted,Gastrolobium grandiflorum F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Gastrolobium spinosum,Gastrolobium spinosum,Gastrolobium spinosum,Gastrolobium spinosum,Gastrolobium,species,APC,accepted,Gastrolobium spinosum Benth. ex Lindl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Geijera parviflora,Geijera parviflora,Geijera parviflora,Geijera parviflora,Geijera,species,APC,accepted,Geijera parviflora Lindl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Geissois biagiana,Geissois biagiana,Karrabina biagiana,Karrabina biagiana,Karrabina,species,APC,accepted,Karrabina biagiana (F.Muell.) Rozefelds & H.C.Hopkins,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Gentianella diemensis,Gentianella diemensis,Gentianella diemensis,Gentianella diemensis [alternative possible names: Gentianella barringtonensis (pro parte misapplied) | Gentianella bawbawensis (pro parte misapplied) | Gentianella cunninghamii (pro parte misapplied) | Gentianella cunninghamii subsp. cunninghamii (pro parte misapplied) | Gentianella cunninghamii subsp. major (pro parte misapplied) | Gentianella gunniana (pro parte misapplied) | Gentianella muelleriana (pro parte misapplied) | Gentianella muelleriana subsp. muelleriana (pro parte misapplied) | Gentianella muelleriana subsp. willisiana (pro parte misapplied) | Gentianella polysperes (pro parte misapplied) | Gentianella sylvicola (pro parte misapplied) | Gentianella gunniana (misapplied)],Gentianella,species,APC,accepted,Gentianella diemensis (Griseb.) J.H.Willis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Gentianella muelleriana,Gentianella muelleriana,Gentianella muelleriana,Gentianella muelleriana,Gentianella,species,APC,accepted,Gentianella muelleriana (L.G.Adams) Glenny,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Glischrocaryon roei,Glischrocaryon roei,Glischrocaryon roei,Glischrocaryon roei,Glischrocaryon,species,APC,accepted,Glischrocaryon roei Endl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Gompholobium,Gompholobium sp. [Gompholobium],NA,Gompholobium sp. [Gompholobium],Gompholobium,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Goodenia,Goodenia sp. [Goodenia],NA,Goodenia sp. [Goodenia],Goodenia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Goodenia maideniana,Goodenia maideniana,Goodenia maideniana,Goodenia maideniana,Goodenia,species,APC,accepted,Goodenia maideniana W.Fitzg.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Goodenia paniculata,Goodenia paniculata,Goodenia paniculata,Goodenia paniculata [alternative possible names: Goodenia rosulata (pro parte misapplied)],Goodenia,species,APC,accepted,Goodenia paniculata Sm.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Goodeniaceae,Goodeniaceae sp. [Goodeniaceae],NA,Goodeniaceae sp. [Goodeniaceae],NA,family,APC,family accepted,NA,Exact match of the first word of the taxon name to an APC-accepted family (2023-09-15),NA,NA
Grevillea,Grevillea sp. [Grevillea],NA,Grevillea sp. [Grevillea],Grevillea,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Grevillea australis,Grevillea australis,Grevillea australis,Grevillea australis,Grevillea,species,APC,accepted,Grevillea australis R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Grevillea baileyana,Grevillea baileyana,Grevillea baileyana,Grevillea baileyana,Grevillea,species,APC,accepted,Grevillea baileyana McGill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Grevillea biformis,Grevillea biformis,Grevillea biformis,Grevillea biformis,Grevillea,species,APC,accepted,Grevillea biformis Meisn.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Grevillea buxifolia,Grevillea buxifolia,Grevillea buxifolia,Grevillea buxifolia,Grevillea,species,APC,accepted,Grevillea buxifolia (Sm.) R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Grevillea didymobotrya,Grevillea didymobotrya,Grevillea didymobotrya,Grevillea didymobotrya,Grevillea,species,APC,accepted,Grevillea didymobotrya Meisn.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Grevillea eriostachya,Grevillea eriostachya,Grevillea eriostachya,Grevillea eriostachya,Grevillea,species,APC,accepted,Grevillea eriostachya Lindl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Grevillea juncifolia,Grevillea juncifolia,Grevillea juncifolia,Grevillea juncifolia,Grevillea,species,APC,accepted,Grevillea juncifolia Hook.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Grevillea lanigera,Grevillea lanigera,Grevillea lanigera,Grevillea lanigera,Grevillea,species,APC,accepted,Grevillea lanigera A.Cunn. ex R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Grevillea nematophylla,Grevillea nematophylla,Grevillea nematophylla,Grevillea nematophylla,Grevillea,species,APC,accepted,Grevillea nematophylla F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Grevillea paradoxa,Grevillea paradoxa,Grevillea paradoxa,Grevillea paradoxa,Grevillea,species,APC,accepted,Grevillea paradoxa F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Grevillea petrophiloides,Grevillea petrophiloides,Grevillea petrophiloides,Grevillea petrophiloides,Grevillea,species,APC,accepted,Grevillea petrophiloides Meisn.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Grevillea pinaster,Grevillea pinaster,Grevillea pinaster,Grevillea pinaster,Grevillea,species,APC,accepted,Grevillea pinaster Meisn.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Grevillea pterosperma,Grevillea pterosperma,Grevillea pterosperma,Grevillea pterosperma,Grevillea,species,APC,accepted,Grevillea pterosperma F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Guioa lasioneura,Guioa lasioneura,Guioa lasioneura,Guioa lasioneura,Guioa,species,APC,accepted,Guioa lasioneura Radlk.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Guioa semiglauca,Guioa semiglauca,Guioa semiglauca,Guioa semiglauca,Guioa,species,APC,accepted,Guioa semiglauca (F.Muell.) Radlk.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Gunniopsis,Gunniopsis sp. [Gunniopsis],NA,Gunniopsis sp. [Gunniopsis],Gunniopsis,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Gyrocarpus,Gyrocarpus sp. [Gyrocarpus],NA,Gyrocarpus sp. [Gyrocarpus],Gyrocarpus,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Hakea,Hakea sp. [Hakea],NA,Hakea sp. [Hakea],Hakea,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Hakea erinacea,Hakea erinacea,Hakea erinacea,Hakea erinacea,Hakea,species,APC,accepted,Hakea erinacea Meisn.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Hakea rugosa,Hakea rugosa,Hakea rugosa,Hakea rugosa [alternative possible names: Hakea epiglottis (pro parte misapplied) | Hakea megadenia (pro parte misapplied)],Hakea,species,APC,accepted,Hakea rugosa R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Hakea ruscifolia,Hakea ruscifolia,Hakea ruscifolia,Hakea ruscifolia,Hakea,species,APC,accepted,Hakea ruscifolia Labill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Hakea teretifolia,Hakea teretifolia,Hakea teretifolia,Hakea teretifolia,Hakea,species,APC,accepted,Hakea teretifolia (Salisb.) Britten,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Hakea trifurcata,Hakea trifurcata,Hakea trifurcata,Hakea trifurcata,Hakea,species,APC,accepted,Hakea trifurcata (Sm.) R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Hardenbergia,Hardenbergia sp. [Hardenbergia],NA,Hardenbergia sp. [Hardenbergia],Hardenbergia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Harmogia densifolia,Harmogia densifolia,Harmogia densifolia,Harmogia densifolia,Harmogia,species,APC,accepted,Harmogia densifolia (Sm.) Schauer,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Helichrysum,Helichrysum sp. [Helichrysum],NA,Helichrysum sp. [Helichrysum],Helichrysum,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Helichrysum alpinum,Helichrysum alpinum,Ozothamnus alpinus,Ozothamnus alpinus,Ozothamnus,species,APC,accepted,Ozothamnus alpinus (N.A.Wakef.) Anderb.,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),basionym,NA
Helichrysum bracteatum,Helichrysum bracteatum,Xerochrysum bracteatum,Xerochrysum bracteatum,Xerochrysum,species,APC,accepted,Xerochrysum bracteatum (Vent.) Tzvelev,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Helichrysum rutidolepis,Helichrysum rutidolepis,Coronidium rutidolepis,Coronidium rutidolepis [alternative possible names: Coronidium gunnianum (pro parte misapplied) | Coronidium monticola (pro parte misapplied) | Coronidium gunnianum (misapplied) | Coronidium monticola (misapplied)],Coronidium,species,APC,accepted,Coronidium rutidolepis (DC.) N.G.Walsh,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,1
Helichrysum scorpioides,Helichrysum scorpioides,Coronidium scorpioides,Coronidium scorpioides [alternative possible names: Coronidium densifolium (pro parte misapplied) | Coronidium gunnianum (pro parte misapplied) | Coronidium monticola (pro parte misapplied) | Coronidium monticola (misapplied)],Coronidium,species,APC,accepted,Coronidium scorpioides (Labill.) Paul G.Wilson,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,1
Helipterum albicans,Helipterum albicans,Leucochrysum albicans,Leucochrysum albicans,Leucochrysum,species,APC,accepted,Leucochrysum albicans (A.Cunn.) Paul G.Wilson,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Helipterum anthemoides,Helipterum anthemoides,Rhodanthe anthemoides,Rhodanthe anthemoides,Rhodanthe,species,APC,accepted,Rhodanthe anthemoides (Sieber ex Spreng.) Paul G.Wilson,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Helipterum craspedioides,Helipterum craspedioides,Helipterum craspedioides,Helipterum craspedioides,Helipterum,species,APC,accepted,Helipterum craspedioides W.Fitzg.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Heritiera,Heritiera sp. [Heritiera],NA,Heritiera sp. [Heritiera],Heritiera,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Heritiera actinophylla,Heritiera actinophylla,Argyrodendron actinophyllum,Argyrodendron actinophyllum,Argyrodendron,species,APC,accepted,Argyrodendron actinophyllum (F.Muell.) Edlin,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Heritiera littoralis,Heritiera littoralis,Heritiera littoralis,Heritiera littoralis,Heritiera,species,APC,accepted,Heritiera littoralis Aiton,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Hibbertia,Hibbertia sp. [Hibbertia],NA,Hibbertia sp. [Hibbertia],Hibbertia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Hibbertia linearis,Hibbertia linearis,Hibbertia linearis,Hibbertia linearis,Hibbertia,species,APC,accepted,Hibbertia linearis R.Br. ex DC.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Hibbertia scandens,Hibbertia scandens,Hibbertia scandens,Hibbertia scandens,Hibbertia,species,APC,accepted,Hibbertia scandens (Willd.) Gilg,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Hibiscus,Hibiscus sp. [Hibiscus],NA,Hibiscus sp. [Hibiscus],Hibiscus,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Hibiscus rhodopetalus,Hibiscus rhodopetalus,Abelmoschus moschatus subsp. tuberosus,Abelmoschus moschatus subsp. tuberosus,Abelmoschus,species,APC,accepted,Abelmoschus moschatus subsp. tuberosus (Span.) Borss.Waalk.,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),taxonomic synonym,NA
Hibiscus tiliaceus,Hibiscus tiliaceus,Hibiscus tiliaceus,Hibiscus tiliaceus,Hibiscus,species,APC,accepted,Hibiscus tiliaceus L.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Homalium brachybotrys,Homalium brachybotrys,Homalium brachybotrys,Homalium brachybotrys,Homalium,species,APC,accepted,Homalium brachybotrys (F.Muell.) F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Homalocalyx,Homalocalyx sp. [Homalocalyx],NA,Homalocalyx sp. [Homalocalyx],Homalocalyx,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Hovea montana,Hovea montana,Hovea montana,Hovea montana,Hovea,species,APC,accepted,Hovea montana (Hook.f.) J.H.Ross,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
