original_name,aligned_name,accepted_name,suggested_name,genus,taxon_rank,taxonomic_dataset,taxonomic_status,scientific_name,aligned_reason,update_reason,number_of_collapsed_taxa
Callistemon viminalis,Callistemon viminalis,Callistemon viminalis,Callistemon viminalis,Callistemon,species,APC,accepted,Callistemon viminalis (Sol. ex Gaertn.) G.Don,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Callitris,Callitris sp. [Callitris],NA,Callitris sp. [Callitris],Callitris,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Callitris columellaris,Callitris columellaris,Callitris columellaris,Callitris columellaris,Callitris,species,APC,accepted,Callitris columellaris F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Callitris endlicheri,Callitris endlicheri,Callitris endlicheri,Callitris endlicheri,Callitris,species,APC,accepted,Callitris endlicheri (Parl.) F.M.Bailey,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Callitris preissii,Callitris preissii,Callitris preissii,Callitris preissii,Callitris,species,APC,accepted,Callitris preissii Miq.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Callitris rhomboidea,Callitris rhomboidea,Callitris rhomboidea,Callitris rhomboidea,Callitris,species,APC,accepted,Callitris rhomboidea R.Br. ex Rich. & A.Rich.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Callitris verrucosa,Callitris verrucosa,Callitris verrucosa,Callitris verrucosa,Callitris,species,APC,accepted,Callitris verrucosa (A.Cunn. ex Endl.) F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Calophyllum,Calophyllum sp. [Calophyllum],NA,Calophyllum sp. [Calophyllum],Calophyllum,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Calophyllum inophyllum,Calophyllum inophyllum,Calophyllum inophyllum,Calophyllum inophyllum,Calophyllum,species,APC,accepted,Calophyllum inophyllum L.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Calophyllum soulattri,Calophyllum soulattri,Calophyllum soulattri,Calophyllum soulattri,Calophyllum,species,APC,accepted,Calophyllum soulattri Burm.f.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
